"LGA","Latitude","Longitude"
"Albury",-36.0265305723956,146.970544240484
"Armidale Regional",-30.3671134276843,151.898593034433
"Ballina",-28.8528403304879,153.486194100748
"Balranald",-33.9491846287674,143.613756713684
"Bathurst Regional",-33.4294574911809,149.526034478339
"Bayside (NSW)",-33.9495171890595,151.167124664524
"Bega Valley",-36.8245374969693,149.717719742668
"Bellingen",-30.4038038133394,152.728558980638
"Berrigan",-35.7342698536752,145.711112812609
"Blacktown",-33.7409168737811,150.864084715006
"Bland",-33.8944461646986,146.960769716017
"Blayney",-33.5943039364782,149.142060173934
"Blue Mountains",-33.6974518567379,150.411146874449
"Bogan",-31.5366016720631,146.866830145826
"Bourke",-29.9094096828135,145.357100189114
"Brewarrina",-29.7891728745048,146.962120325199
"Broken Hill",-31.9440159956646,141.479279066969
"Burwood",-33.883672813047,151.103158038913
"Byron",-28.6041144674084,153.482479832657
"Cabonne",-33.152579774891,148.753838552461
"Camden",-34.0088186999362,150.724204819688
"Campbelltown (NSW)",-34.08338380023,150.845872006044
"Canada Bay",-33.8534859975184,151.114828824419
"Canterbury-Bankstown",-33.9234960325873,151.037327330191
"Carrathool",-33.6075831097726,145.494997713358
"Central Coast (NSW)",-33.3078846881098,151.285539858007
"Central Darling",-31.8450011062052,143.588213560713
"Cessnock",-32.9250731726731,151.225177517993
"Clarence Valley",-29.681076577547,152.751461350853
"Cobar",-31.8654054790099,145.480333086962
"Coffs Harbour",-30.1889248511435,153.039967818903
"Coolamon",-34.6323288140592,147.104519828369
"Coonamble",-30.8703182016297,148.291076332218
"Cootamundra-Gundagai Regional",-34.8524314024702,148.093837140437
"Cowra",-33.7963579639061,148.717908411899
"Cumberland",-33.8421377387991,150.986450199084
"Dubbo Regional",-32.4240497174463,148.853856175172
"Dungog",-32.3493710325636,151.608053629056
"Edward River",-35.1725309919783,144.940651495733
"Eurobodalla",-35.9447243915771,149.947325473162
"Fairfield",-33.8656234873212,150.895411960924
"Federation",-35.4957951191553,146.271360544589
"Forbes",-33.4216656160564,147.866975073748
"Georges River",-33.9710193017905,151.086361972594
"Gilgandra",-31.6188493344031,148.690883130739
"Glen Innes Severn",-29.6448395296523,151.903009357622
"Goulburn Mulwaree",-34.8758176658612,149.813531615293
"Greater Hume Shire",-35.750514105469,147.171970509319
"Griffith",-34.3003315587742,146.00355036954
"Gunnedah",-31.046336835884,150.188938073073
"Gwydir",-29.5917001523095,150.516515099432
"Hawkesbury",-33.3345466520658,150.773421747931
"Hay",-34.3148801192474,144.684215083596
"Hilltops",-34.3518985932019,148.501008219225
"Hornsby",-33.5838473234039,151.089404547564
"Hunters Hill",-33.8333392590595,151.1451336617
"Inner West",-33.8913189070819,151.154916527619
"Inverell",-29.4175348698747,151.074348983517
"Junee",-34.817080734033,147.668915522383
"Kempsey",-30.9514232877233,152.644388834377
"Kiama",-34.6788496692515,150.756204539021
"Ku-ring-gai",-33.7345891392937,151.150911651622
"Kyogle",-28.6176359549849,152.77576362562
"Lachlan",-32.9186141285136,146.991281704274
"Lake Macquarie",-33.0388095931707,151.530265732979
"Lane Cove",-33.8199806114323,151.16689940539
"Leeton",-34.532306179812,146.302041329007
"Lismore",-28.756021083489,153.270601961632
"Lithgow",-33.277319786273,150.179100307317
"Liverpool",-33.9359840547384,150.825157069724
"Liverpool Plains",-31.5506405953161,150.438494458397
"Lockhart",-35.33128094599,146.775408196624
"Maitland",-32.7107987919742,151.549712825256
"Mid-Coast",-32.0146972563795,152.095592615408
"Mid-Western Regional",-32.5933931752905,149.742342403239
"Moree Plains",-29.2523692028889,149.62897599272
"Mosman",-33.8290681723738,151.244640433792
"Murray River",-35.3235708143346,144.207861405298
"Murrumbidgee",-34.948772835063,145.728918113681
"Muswellbrook",-32.4397755405291,150.630800955592
"Nambucca Valley",-30.6875049350129,152.768874328681
"Narrabri",-30.3561616901392,149.564625222258
"Narrandera",-34.6106019471049,146.579624334217
"Narromine",-32.2257763229182,148.065435327347
"Newcastle",-32.8800357189662,151.69567902015
"North Sydney",-33.8329437246799,151.211869155104
"Northern Beaches",-33.6901903290157,151.249678532093
"Oberon",-33.8831215893465,149.811390024845
"Orange",-33.3246240274887,149.120355023423
"Parkes",-32.8806965593518,147.96097226407
"Parramatta",-33.7993287919021,151.02930950488
"Penrith",-33.7653087595809,150.718082296842
"Port Macquarie-Hastings",-31.4097180361335,152.531102073865
"Port Stephens",-32.7218045872844,151.844667602348
"Queanbeyan-Palerang Regional",-35.4223481558872,149.627288318562
"Randwick",-33.9432177232852,151.240214433196
"Richmond Valley",-29.0595284895613,153.046243814078
"Ryde",-33.7991243264797,151.110567977079
"Shellharbour",-34.5826909864555,150.773864448366
"Shoalhaven",-35.0938135007705,150.373868139417
"Singleton",-32.6601952904158,150.96551283993
"Snowy Monaro Regional",-36.3948683358613,148.95917576056
"Snowy Valleys",-35.7322782391171,148.24968355039
"Strathfield",-33.8804109799757,151.076442594719
"Sutherland Shire",-34.0751206154129,151.051025446087
"Sydney",-33.8894399021473,151.202762736059
"Tamworth Regional",-30.8913556929041,150.905726256596
"Temora",-34.3878877341316,147.483733951095
"Tenterfield",-28.9433351948951,152.087248229392
"The Hills Shire",-33.5881404332175,150.962015752972
"Tweed",-28.3599596448145,153.356363242032
