"Date","LGA","Capacity","Installations"
2001-04-01,"Albany",0,0
2001-04-01,"Armadale",0,0
2001-04-01,"Augusta Margaret River",0,0
2001-04-01,"Bassendean",0,0
2001-04-01,"Bayswater",0,0
2001-04-01,"Belmont",0,0
2001-04-01,"Beverley",0,0
2001-04-01,"Boddington",0,0
2001-04-01,"Boyup Brook",0,0
2001-04-01,"Bridgetown-Greenbushes",0,0
2001-04-01,"Brookton",0,0
2001-04-01,"Broomehill-Tambellup",0,0
2001-04-01,"Bruce Rock",0,0
2001-04-01,"Bunbury",0,0
2001-04-01,"Busselton",0,0
2001-04-01,"Cambridge",0,0
2001-04-01,"Canning",0,0
2001-04-01,"Capel",0,0
2001-04-01,"Carnamah",0,0
2001-04-01,"Chapman Valley",0,0
2001-04-01,"Chittering",0,0
2001-04-01,"Claremont",0,0
2001-04-01,"Cockburn",0,0
2001-04-01,"Collie",0,0
2001-04-01,"Coolgardie",0,0
2001-04-01,"Coorow",0,0
2001-04-01,"Corrigin",0,0
2001-04-01,"Cottesloe",0,0
2001-04-01,"Cranbrook",0,0
2001-04-01,"Cuballing",0,0
2001-04-01,"Cunderdin",0,0
2001-04-01,"Dalwallinu",0,0
2001-04-01,"Dandaragan",0,0
2001-04-01,"Dardanup",0,0
2001-04-01,"Denmark",0,0
2001-04-01,"Donnybrook-Balingup",0,0
2001-04-01,"Dowerin",0,0
2001-04-01,"Dumbleyung",0,0
2001-04-01,"Dundas",0,0
2001-04-01,"East Fremantle",0,0
2001-04-01,"Esperance",0,0
2001-04-01,"Fremantle",0,0
2001-04-01,"Gingin",0,0
2001-04-01,"Gnowangerup",0,0
2001-04-01,"Goomalling",0,0
2001-04-01,"Gosnells",0,0
2001-04-01,"Greater Geraldton",0,0
2001-04-01,"Harvey",0,0
2001-04-01,"Irwin",0,0
2001-04-01,"Jerramungup",0,0
2001-04-01,"Joondalup",0,0
2001-04-01,"Kalamunda",0,0
2001-04-01,"Kalgoorlie-Boulder",0,0
2001-04-01,"Katanning",0,0
2001-04-01,"Kellerberrin",0,0
2001-04-01,"Kent",0,0
2001-04-01,"Kojonup",0,0
2001-04-01,"Kondinin",0,0
2001-04-01,"Koorda",0,0
2001-04-01,"Kulin",0,0
2001-04-01,"Kwinana",0,0
2001-04-01,"Lake Grace",0,0
2001-04-01,"Mandurah",0,0
2001-04-01,"Manjimup",0,0
2001-04-01,"Melville",0,0
2001-04-01,"Menzies",0,0
2001-04-01,"Merredin",0,0
2001-04-01,"Mingenew",0,0
2001-04-01,"Moora",0,0
2001-04-01,"Morawa",0,0
2001-04-01,"Mosman Park",0,0
2001-04-01,"Mount Marshall",0,0
2001-04-01,"Mukinbudin",0,0
2001-04-01,"Mundaring",0,0
2001-04-01,"Murchison",0,0
2001-04-01,"Murray",0,0
2001-04-01,"Nannup",0,0
2001-04-01,"Narembeen",0,0
2001-04-01,"Narrogin",0,0
2001-04-01,"Nedlands",0.96946058088,0.734439834
2001-04-01,"Northam",0,0
2001-04-01,"Northampton",0,0
2001-04-01,"Nungarin",0,0
2001-04-01,"Peppermint Grove",0,0
2001-04-01,"Perenjori",0,0
2001-04-01,"Perth",0.35053941912,0.265560166
2001-04-01,"Pingelly",0,0
2001-04-01,"Plantagenet",0,0
2001-04-01,"Quairading",0,0
2001-04-01,"Ravensthorpe",0,0
2001-04-01,"Rockingham",0,0
2001-04-01,"Serpentine-Jarrahdale",0,0
2001-04-01,"South Perth",0,0
2001-04-01,"Stirling",0,0
2001-04-01,"Subiaco",0,0
2001-04-01,"Swan",0,0
2001-04-01,"Tammin",0,0
2001-04-01,"Three Springs",0,0
2001-04-01,"Toodyay",0,0
2001-04-01,"Trayning",0,0
2001-04-01,"Victoria Park",0,0
2001-04-01,"Victoria Plains",0,0
2001-04-01,"Vincent",0,0
2001-04-01,"Wagin",0,0
2001-04-01,"Wandering",0,0
2001-04-01,"Wanneroo",0,0
2001-04-01,"Waroona",0,0
2001-04-01,"West Arthur",0,0
2001-04-01,"Westonia",0,0
2001-04-01,"Wickepin",0,0
2001-04-01,"Williams",0,0
2001-04-01,"Wongan-Ballidu",0,0
2001-04-01,"Woodanilling",0,0
2001-04-01,"Wyalkatchem",0,0
2001-04-01,"Yalgoo",0,0
2001-04-01,"Yilgarn",0,0
2001-04-01,"York",0,0
2001-05-01,"Albany",0,0
2001-05-01,"Armadale",0,0
2001-05-01,"Augusta Margaret River",0,0
2001-05-01,"Bassendean",0,0
2001-05-01,"Bayswater",0,0
2001-05-01,"Belmont",0,0
2001-05-01,"Beverley",0,0
2001-05-01,"Boddington",0,0
2001-05-01,"Boyup Brook",0,0
2001-05-01,"Bridgetown-Greenbushes",0,0
2001-05-01,"Brookton",0,0
2001-05-01,"Broomehill-Tambellup",0,0
2001-05-01,"Bruce Rock",0,0
2001-05-01,"Bunbury",0,0
2001-05-01,"Busselton",0,0
2001-05-01,"Cambridge",0,0
2001-05-01,"Canning",0,0
2001-05-01,"Capel",0,0
2001-05-01,"Carnamah",0,0
2001-05-01,"Chapman Valley",0,0
2001-05-01,"Chittering",0,0
2001-05-01,"Claremont",0,0
2001-05-01,"Cockburn",0,0
2001-05-01,"Collie",0,0
2001-05-01,"Coolgardie",0,0
2001-05-01,"Coorow",0,0
2001-05-01,"Corrigin",0,0
2001-05-01,"Cottesloe",0,0
2001-05-01,"Cranbrook",0,0
2001-05-01,"Cuballing",0,0
2001-05-01,"Cunderdin",0,0
2001-05-01,"Dalwallinu",0,0
2001-05-01,"Dandaragan",0,0
2001-05-01,"Dardanup",0,0
2001-05-01,"Denmark",0,0
2001-05-01,"Donnybrook-Balingup",0,0
2001-05-01,"Dowerin",0,0
2001-05-01,"Dumbleyung",0,0
2001-05-01,"Dundas",0,0
2001-05-01,"East Fremantle",0,0
2001-05-01,"Esperance",0,0
2001-05-01,"Fremantle",0,0
2001-05-01,"Gingin",0,0
2001-05-01,"Gnowangerup",0,0
2001-05-01,"Goomalling",0,0
2001-05-01,"Gosnells",0,0
2001-05-01,"Greater Geraldton",0,0
2001-05-01,"Harvey",0,0
2001-05-01,"Irwin",0,0
2001-05-01,"Jerramungup",0,0
2001-05-01,"Joondalup",0,0
2001-05-01,"Kalamunda",0,0
2001-05-01,"Kalgoorlie-Boulder",0,0
2001-05-01,"Katanning",0,0
2001-05-01,"Kellerberrin",0,0
2001-05-01,"Kent",0,0
2001-05-01,"Kojonup",0,0
2001-05-01,"Kondinin",0,0
2001-05-01,"Koorda",0,0
