"","LGA","Dates","Capacity","Installations"
"1","Albany (C)","2001-04-01",0,0
"2","Albany (C)","2001-05-01",0,0
"3","Albany (C)","2001-06-01",0,0
"4","Albany (C)","2001-07-01",0,0
"5","Albany (C)","2001-08-01",0,0
"6","Albany (C)","2001-09-01",0,0
"7","Albany (C)","2001-10-01",0,0
"8","Albany (C)","2001-11-01",0,0
"9","Albany (C)","2001-12-01",0,0
"10","Albany (C)","2002-01-01",0,0
"11","Albany (C)","2002-02-01",0,0
"12","Albany (C)","2002-03-01",0,0
"13","Albany (C)","2002-04-01",0,0
"14","Albany (C)","2002-05-01",0,0
"15","Albany (C)","2002-06-01",0,0
"16","Albany (C)","2002-07-01",0,0
"17","Albany (C)","2002-08-01",0,0
"18","Albany (C)","2002-09-01",0,0
"19","Albany (C)","2002-10-01",0,0
"20","Albany (C)","2002-11-01",0,0
"21","Albany (C)","2002-12-01",0,0
"22","Albany (C)","2004-01-01",0,0
"23","Albany (C)","2004-02-01",0,0
"24","Albany (C)","2004-03-01",0,0
"25","Albany (C)","2004-04-01",0,0
"26","Albany (C)","2004-05-01",0,0
"27","Albany (C)","2004-06-01",0,0
"28","Albany (C)","2004-07-01",0,0
"29","Albany (C)","2004-08-01",0,0
"30","Albany (C)","2004-09-01",0,0
"31","Albany (C)","2004-10-01",0,0
"32","Albany (C)","2004-11-01",0.16,1
"33","Albany (C)","2004-12-01",0,0
"34","Albany (C)","2005-01-01",0,0
"35","Albany (C)","2005-02-01",0,0
"36","Albany (C)","2005-03-01",0,0
"37","Albany (C)","2005-04-01",0,0
"38","Albany (C)","2005-05-01",0,0
"39","Albany (C)","2005-06-01",0,0
"40","Albany (C)","2005-07-01",0,0
"41","Albany (C)","2005-08-01",0,0
"42","Albany (C)","2005-09-01",0,0
"43","Albany (C)","2005-10-01",0,0
"44","Albany (C)","2005-11-01",0,0
"45","Albany (C)","2005-12-01",0,0
"46","Albany (C)","2006-01-01",0,0
"47","Albany (C)","2006-02-01",0,0
"48","Albany (C)","2006-03-01",0,0
"49","Albany (C)","2006-04-01",0,0
"50","Albany (C)","2006-05-01",0,0
"51","Albany (C)","2006-06-01",0,0
"52","Albany (C)","2006-07-01",0,0
"53","Albany (C)","2006-08-01",0,0
"54","Albany (C)","2006-09-01",0,0
"55","Albany (C)","2006-10-01",0,0
"56","Albany (C)","2006-11-01",0,0
"57","Albany (C)","2006-12-01",0,0
"58","Albany (C)","2007-01-01",0,0
"59","Albany (C)","2007-02-01",0,0
"60","Albany (C)","2007-03-01",0,0
"61","Albany (C)","2007-04-01",0,0
"62","Albany (C)","2007-05-01",0,0
"63","Albany (C)","2007-06-01",0,0
"64","Albany (C)","2007-07-01",2.1,1
"65","Albany (C)","2007-08-01",3.1,2
"66","Albany (C)","2007-09-01",0,0
"67","Albany (C)","2007-10-01",3.1,1
"68","Albany (C)","2007-11-01",7.63,3
"69","Albany (C)","2007-12-01",4.7,1
"70","Albany (C)","2008-01-01",2.1,1
"71","Albany (C)","2008-02-01",1.05,1
"72","Albany (C)","2008-03-01",0,0
"73","Albany (C)","2008-04-01",3.1,1
"74","Albany (C)","2008-05-01",8.28,5
"75","Albany (C)","2008-06-01",0,0
"76","Albany (C)","2008-07-01",0,0
"77","Albany (C)","2008-08-01",4.9,1
"78","Albany (C)","2008-09-01",7.53,4
"79","Albany (C)","2008-10-01",12.16,3
"80","Albany (C)","2008-11-01",9.79,3
"81","Albany (C)","2008-12-01",23.84,5
"82","Albany (C)","2009-01-01",0,0
"83","Albany (C)","2009-02-01",1.05,1
"84","Albany (C)","2009-03-01",4.66,4
"85","Albany (C)","2009-04-01",14.83,6
"86","Albany (C)","2009-05-01",9,4
"87","Albany (C)","2009-06-01",4.21,3
"88","Albany (C)","2009-07-01",9.78,5
"89","Albany (C)","2009-08-01",11.88,7
"90","Albany (C)","2009-09-01",18.48,9
"91","Albany (C)","2009-10-01",6.18,5
"92","Albany (C)","2009-11-01",40.52,22
"93","Albany (C)","2009-12-01",9.41,6
"94","Albany (C)","2010-01-01",22.87,17
"95","Albany (C)","2010-02-01",12.33,7
"96","Albany (C)","2010-03-01",4.46,3
"97","Albany (C)","2010-04-01",0,0
"98","Albany (C)","2010-05-01",11.77,5
"99","Albany (C)","2010-06-01",36.97,12
"100","Albany (C)","2010-07-01",11.05,4
"101","Albany (C)","2010-08-01",46.02,18
"102","Albany (C)","2010-09-01",60.814,22
"103","Albany (C)","2010-10-01",64.51,29
"104","Albany (C)","2010-11-01",56.33,21
"105","Albany (C)","2010-12-01",50.1,21
"106","Albany (C)","2011-01-01",78.76,33
"107","Albany (C)","2011-02-01",117.53,48
"108","Albany (C)","2011-03-01",84.24,32
"109","Albany (C)","2011-04-01",100.036,42
"110","Albany (C)","2011-05-01",153.612,56
"111","Albany (C)","2011-06-01",339.721,124
"112","Albany (C)","2011-07-01",117.59,51
"113","Albany (C)","2011-08-01",169.019,69
"114","Albany (C)","2011-09-01",252.514,108
"115","Albany (C)","2011-10-01",64.33,30
"116","Albany (C)","2011-11-01",95.071,47
"117","Albany (C)","2011-12-01",59.511,31
"118","Albany (C)","2012-01-01",78.76,33
"119","Albany (C)","2012-02-01",117.53,48
"120","Albany (C)","2012-03-01",84.24,32
"121","Albany (C)","2012-04-01",100.036,42
"122","Albany (C)","2012-05-01",153.612,56
"123","Albany (C)","2012-06-01",339.721,124
"124","Albany (C)","2012-07-01",117.59,51
"125","Albany (C)","2012-08-01",169.019,69
"126","Albany (C)","2012-09-01",252.514,108
"127","Albany (C)","2012-10-01",64.33,30
"128","Albany (C)","2012-11-01",95.071,47
"129","Albany (C)","2012-12-01",59.511,31
"130","Albany (C)","2013-01-01",66.325,32
"131","Albany (C)","2013-02-01",74.895,21
"132","Albany (C)","2013-03-01",45.522,19
"133","Albany (C)","2013-04-01",52.865,16
"134","Albany (C)","2013-05-01",132.492,16
"135","Albany (C)","2013-06-01",89.172,30
"136","Albany (C)","2013-07-01",43.02,13
"137","Albany (C)","2013-08-01",38.62,15
"138","Albany (C)","2013-09-01",18.5,8
"139","Albany (C)","2013-10-01",153.076,23
"140","Albany (C)","2013-11-01",47.966,18
"141","Albany (C)","2013-12-01",93.495,23
"142","Albany (C)","2014-01-01",49.09,17
"143","Albany (C)","2014-02-01",105.675,21
"144","Albany (C)","2014-03-01",87.42,13
"145","Albany (C)","2014-04-01",73.942,31
"146","Albany (C)","2014-05-01",92.79,18
"147","Albany (C)","2014-06-01",67.125,26
"148","Albany (C)","2014-07-01",80.19,22
"149","Albany (C)","2014-08-01",102.18,30
"150","Albany (C)","2014-09-01",210.361,34
"151","Albany (C)","2014-10-01",126.076,34
"152","Albany (C)","2014-11-01",98.82,23
"153","Albany (C)","2014-12-01",70.08,24
"154","Albany (C)","2015-01-01",88.58,23
"155","Albany (C)","2015-02-01",51.85,14
"156","Albany (C)","2015-03-01",77.25,18
"157","Albany (C)","2015-04-01",92.151,22
"158","Albany (C)","2015-05-01",80.6,22
